,subject_id,colour,num,is_dark,rt,language
901,54af2a48fdf99b09c01b3801,browns,19,1,861.6999998,English
902,54af2a48fdf99b09c01b3801,reds,20,1,1114,English
903,54af2a48fdf99b09c01b3801,yellows,6,0,2445.2,English
904,54af2a48fdf99b09c01b3801,yellows,10,1,1300.5,English
905,54af2a48fdf99b09c01b3801,reds,3,0,807.7000003,English
906,54af2a48fdf99b09c01b3801,reds,7,0,1406.8,English
908,54af2a48fdf99b09c01b3801,blues,4,0,885.2000003,English
909,54af2a48fdf99b09c01b3801,yellows,7,0,1345.9,English
910,54af2a48fdf99b09c01b3801,blues,11,0,1772.3,English
911,54af2a48fdf99b09c01b3801,browns,20,1,825.6999998,English
912,54af2a48fdf99b09c01b3801,reds,5,0,1075.9,English
913,54af2a48fdf99b09c01b3801,browns,5,0,658.0999999,English
914,54af2a48fdf99b09c01b3801,reds,20,1,691.4000001,English
915,54af2a48fdf99b09c01b3801,browns,19,1,792.2999997,English
916,54af2a48fdf99b09c01b3801,blues,4,0,1149.1,English
917,54af2a48fdf99b09c01b3801,reds,12,0,1043.7,English
918,54af2a48fdf99b09c01b3801,yellows,5,0,1219.2,English
919,54af2a48fdf99b09c01b3801,browns,16,1,924.2999997,English
920,54af2a48fdf99b09c01b3801,blues,2,0,1055.6,English
921,54af2a48fdf99b09c01b3801,reds,6,0,974.9000001,English
922,54af2a48fdf99b09c01b3801,yellows,10,0,1369.9,English
923,54af2a48fdf99b09c01b3801,reds,18,1,986.7999997,English
924,54af2a48fdf99b09c01b3801,yellows,4,0,923.5999999,English
925,54af2a48fdf99b09c01b3801,browns,15,1,1269.3,English
926,54af2a48fdf99b09c01b3801,yellows,2,0,828.9000001,English
927,54af2a48fdf99b09c01b3801,reds,3,0,921.7999997,English
928,54af2a48fdf99b09c01b3801,browns,6,0,978.6999998,English
6033,55ae6a39fdf99b44a305f1eb,reds,9,0,1422.6,English
6043,55ae6a39fdf99b44a305f1eb,blues,17,1,1193.9,English
6053,55ae6a39fdf99b44a305f1eb,browns,4,0,1076.9,English
6063,55ae6a39fdf99b44a305f1eb,blues,17,1,1728.1,English
6073,55ae6a39fdf99b44a305f1eb,yellows,7,0,1249.4,English
6083,55ae6a39fdf99b44a305f1eb,reds,13,1,1232.1,English
6093,55ae6a39fdf99b44a305f1eb,yellows,13,1,1001.7,English
6103,55ae6a39fdf99b44a305f1eb,blues,11,0,1154.4,English
6113,55ae6a39fdf99b44a305f1eb,yellows,15,1,1129.3,English
6123,55ae6a39fdf99b44a305f1eb,browns,12,1,1707.9,English
6133,55ae6a39fdf99b44a305f1eb,browns,16,1,1193.3,English
6143,55ae6a39fdf99b44a305f1eb,browns,14,1,1602.8,English
6153,55ae6a39fdf99b44a305f1eb,reds,20,1,1005.5,English
6163,55ae6a39fdf99b44a305f1eb,browns,15,1,973.2,English
6173,55ae6a39fdf99b44a305f1eb,reds,6,0,921.2,English
